Program Counter,Panda Current ASID,System Number,Syscall Reutrn Type,Syste Call Name
3078489113,888659968,13,long,sys_time(time_t __user *tloc);
3078489113,888659968,195,long,"sys_stat64(const char __user *filename,struct stat64 __user *statbuf);"
3078489113,888659968,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078489113,888659968,195,long,"sys_stat64(const char __user *filename,struct stat64 __user *statbuf);"
3078489113,888659968,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077620761,924934144,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077620761,924934144,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,4,long,"sys_write(unsigned int fd, const char __user *buf,size_t count);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078099993,926330880,78,long,"sys_gettimeofday(struct timeval __user *tv,struct timezone __user *tz);"
3078099993,926330880,168,long,"sys_poll(struct pollfd __user *ufds, unsigned int nfds,long timeout);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077620761,924934144,4,long,"sys_write(unsigned int fd, const char __user *buf,size_t count);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,54,long,"sys_ioctl(unsigned int fd, unsigned int cmd,unsigned long arg);"
3077620761,924934144,54,long,"sys_ioctl(unsigned int fd, unsigned int cmd,unsigned long arg);"
3077620761,924934144,54,long,"sys_ioctl(unsigned int fd, unsigned int cmd,unsigned long arg);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3077620761,924934144,13,long,sys_time(time_t __user *tloc);
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,42,long,sys_pipe(int __user *fildes);
3077620761,924934144,120,long,"sys_clone(unsigned long flags, void *child_stack, void *ptid, void *ctid, struct pt_regs *regs);"
3077620761,924934144,57,long,"sys_setpgid(pid_t pid, pid_t pgid);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,6,long,sys_close(unsigned int fd);
3077620761,924934144,6,long,sys_close(unsigned int fd);
3077620761,924934144,54,long,"sys_ioctl(unsigned int fd, unsigned int cmd,unsigned long arg);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077620761,924934144,7,long,"sys_waitpid(pid_t pid, int __user *stat_addr, int options);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
